Orden,en,es,fr,kind,note
1, We place the valencies in Roman numerals \n on each item.,Colocamos las valencias en números romanos \n sobre cada reactivo para tenerlas de referencia., Nous plaçons les valences en chiffres romains \n sur chaque élément.,default,default option
2,Oxygen always has a subscript 2 in reagents for being a gas.,El Oxígeno siempre lleva un subíndice 2 en reactivos por ser un gas., L'oxygène a toujours un indice 2 dans les réactifs pour être un gaz.,default,default option
3, To the left of the reaction date we locate \n the 'Reagents' and to the right we locate the 'Products'. \n In this case the product is an 'Oxide'.,A la izquierda de la fecha de reacción ubicamos \n los 'Reactivos' y a la derecha ubicamos los 'Productos'. \n En este case el producto es un 'Óxido'.," À gauche de la date de réaction, nous localisons \n les ‘Réactifs’ et à droite nous localisons les ‘Produits’. \n Dans ce cas, le produit est un ‘Oxyde’.",default,default option
4,In Products ... \n The subscript of the element MY_NAME will be 2. \n The subscript of the Oxygen will be MY_VALENCIA.,Las valencias fueron detalladas en números romanos. \n En Productos el subíndice del elemento MY_NAME será 2 y \n el subíndice del Oxígeno será MY_VALENCIA.,En Productos... \n El subíndice del elemento MY_NAME  será 2. \n El subíndice del Oxígeno será MY_VALENCIA.,default,default option
5," In this case, it was not necessary to simplify the subscripts.","En este case, no fue necesario simplificar los subindices.","Dans ce cas, il n'était pas nécessaire de simplifier les indices.",default,default option
6,"The new Oxide coefficient will be 1, and the Oxygen coefficient in reagents will be 1. \n Now the Oxygen is already balanced in the equation. \n Check it out!","El nuevo coeficiente del Óxido será 1, y el coeficiente del Óxigeno en reactivos será 1. \n Ahora el Oxígeno ya se encuentra balanceado en la ecuación. \n Verifícalo!",Le nouveau coefficient d'Oxyde sera 1 et le coefficient d'Oxygène dans les réactifs sera 1. \n L'oxygène est maintenant déjà équilibré dans l'équation. \n Vérifiez-le!,default,default option
7,The MY_NAME element is already balanced in the equation. \n Check it out!,El elemento MY_NAME ya se encuentra balanceado en la ecuación. \n Verifícalo!,L'élément MY_NAME est déjà équilibré dans l'équation. \n Vérifiez-le!,default,default option
8,"In this case, simplifying the coefficients was not necessary.","En este case, simplificar los coeficientes no fue necesario.","Dans ce cas, la simplification des coefficients n'était pas nécessaire.",default,default option
9,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR,SEPARATOR - SEPARATOR
10,"In this case, simplifying the subscripts is not possible.
","En este case, simplificar los subíndices no es posible.","Dans ce cas, la simplification des indices n'est pas possible. ",case1.1.1,detalles en reaccion
11,The subscripts were simplified by MY_COEF3_PASO5.,Los subíndices se simplificaron por MY_COEF3_PASO5.,Les indices ont été simplifiés par MY_COEF3_PASO5. ,case1.1.2,detalles en reaccion
12,"The new Oxide coefficient will be MY_COEF3_PASO6, and the Oxygen coefficient in reagents will be MY_COEF2_PASO6. \n Oxygen is now balanced in the equation. \n Check it out!","El nuevo coeficiente del Óxido será MY_COEF3_PASO6, y el coeficiente del Óxigeno en reactivos será MY_COEF2_PASO6. \n Ahora el Oxígeno ya se encuentra balanceado en la ecuación. \n Verifícalo!",Le nouveau coefficient d'oxyde sera MY_COEF3_PASO6 et le coefficient d'oxygène dans les réactifs sera MY_COEF2_PASO6. \n L'oxygène est maintenant équilibré dans l'équation. \ n Vérifiez-le!,case1.2.1,detalles en reaccion
13,El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!,El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!,El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!,case1.3.1,detalles en reaccion
