Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
1,H,Hidrógeno,Non-metal,1,1,Óxido de Hidrógeno,,,,,Óxido de Hidrógeno
2,He,Helio,Noble gas,0,1,No corresponde,,,,,No corresponde
3,Li,Litio,Metal,1,1,Óxido de Litio,,,,,Óxido de Litio
4,Be,Berilio,Metal,2,1,Óxido de Berilio,,,,,Óxido de Berilio
5,B,Boro,Metalloid,3,1,Óxido de Boro,,,,,Óxido de Boro
6,C,Carbono,Non-metal,2;4,2,Óxido Carbonoso,Óxido Carbónico,,,,Óxido de Carbono
7,N,Nitrógeno,Non-metal,2;3;4;5,4,Óxido HipoNitrogenoso,Óxido Nitrogenoso,Óxido Nítrico,Óxido PerNítrico,,Óxido de Nitrógeno
8,O,Oxígeno,Non-metal,2,1,Oxígeno,,,,,Oxígeno
9,F,Flúor,Non-metal,1,1,Óxido de Flúor,,,,,Óxido de Flúor
10,Ne,Neón,Noble gas,0,1,No corresponde,,,,,No corresponde
11,Na,Sodio,Metal,1,1,Óxido de Sodio,,,,,Óxido de Sodio
12,Mg,Magnesio,Metal,2,1,Óxido de Magnesio,,,,,Óxido de Magnesio
13,Al,Aluminio,Metal,3,1,Óxido de Aluminio,,,,,Óxido de Aluminio
14,Si,Silicio,Metalloid,4,1,Óxido de Silicio,,,,,Óxido de Silicio
15,P,Fósforo,Non-metal,3;4;5,3,Óxido HipoFosforoso,Óxido Fosforoso,Óxido Fosfórico,,,Óxido de Fósforo
16,S,Azufre,Non-metal,2;4;6,3,Óxido HipoSulfuroso,Óxido Sulfuroso,Óxido Sulfúrico,,,Óxido de Azufre
17,Cl,Cloro,Non-metal,1;3;5;7,4,Óxido HipoCloroso,Cloroso,Óxido Clórico,Óxido PerClórico,,Óxido de Cloro
18,Ar,Argón,Noble gas,0,1,No corresponde,,,,,No corresponde
19,K,Potasio,Metal,1,1,Óxido de Potasio,,,,,Óxido de Potasio
20,Ca,Calcio,Metal,2,1,Óxido de Calcio,,,,,Óxido de Calcio
21,Sc,Escandio,Metal,3,1,Óxido de Escandio,,,,,Óxido de Escandio
22,Ti,Titanio,Metal,3;4,2,Óxido Titanoso,Óxido Titánico,,,,Óxido de Titanio
23,V,Vanadio,Metal,2;3;4;5,4,Óxido HipoVanadioso,Óxido Vanadioso,Óxido Vanádico,Óxido PerVanádico,,Óxido de Vanadio
24,Cr,Cromo,Metal,2;3;6,3,Óxido HipoCromoso,Óxido Cromoso,Óxido Crómico,,,Óxido de Cromo
25,Mn,Manganeso,Metal,2;3;4;6;7,5,Óxido HipoManganoso,Óxido Manganoso,Óxido Mangánico,Óxido PerMangánico,Óxido SuperMangánico,Óxido de Manganeso
26,Fe,Hierro,Metal,2;3,2,Óxido Ferroso,Óxido Férrico,,,,Óxido de Hierro
27,Co,Cobalto,Metal,2;3,2,Óxido Cobaltoso,Óxido Cobáltico,,,,Óxido de Cobalto
28,Ni,Níquel,Metal,2;3,2,Óxido Niqueloso,Óxido Niquélico,,,,Óxido de Níquel
29,Cu,Cobre,Metal,1;2,2,Óxido Cuproso,Óxido Cúprico,,,,Óxido de Cobre
30,Zn,Zinc,Metal,2,1,Óxido de Zinc,,,,,Óxido de Zinc
31,Ga,Galio,Metal,3,1,Óxido de Galio,,,,,Óxido de Galio
32,Ge,Germanio,Metalloid,4,1,Óxido de Germanio,,,,,Óxido de Germanio
33,As,Arsénico,Metalloid,3;5,2,Óxido Arsenioso,Óxido Arsenicico,,,,Óxido de Arsénico
34,Se,Selenio,Non-metal,4;6,2,Óxido Selenioso,Óxido Selénico,,,,Óxido de Selenio
35,Br,Bromo,Non-metal,1;5,2,Óxido Bromoso,Óxido Brómico,,,,Óxido de Bromo
36,Kr,Criptón,Noble gas,0,1,No corresponde,,,,,No corresponde
37,Rb,Rubidio,Metal,1,1,Óxido de Rubidio,,,,,Óxido de Rubidio
38,Sr,Estroncio,Metal,2,1,Óxido de Estroncio,,,,,Óxido de Estroncio
39,Y,Yodo,Metal,3,1,Óxido de Yodo,,,,,Óxido de Yodo
40,Zr,Circonio,Metal,4,1,Óxido de Circonio,,,,,Óxido de Circonio
41,Nb,Niobio,Metal,3;5,2,Óxido Niobioso,Óxido Nióbico,,,,Óxido de Niobio
42,Mo,Molibdeno,Metal,2;3;4;5;6,5,Óxido HipoMolibdenoso,Óxido Molibdenoso,Óxido Molibdénico,Óxido PerMolibdénico,Óxido SuperMolibdénico,Óxido de Molibdeno
43,Tc,Tecnecio,Metal,7,1,Óxido de Tecnecio,,,,,Óxido de Tecnecio
44,Ru,Rutenio,Metal,2;3;4;6;8,5,Óxido HipoRutenioso,Óxido Rutenioso,Óxido Ruténico,Óxido PerRuténico,Óxido SuperRuténico,Óxido de Rutenio
