Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
2,He,Hélium,Noble gas,0,1,Non disponible,,,,,Non disponible
10,Ne,Néon,Noble gas,0,1,Non disponible,,,,,Non disponible
18,Ar,Argon,Noble gas,0,1,Non disponible,,,,,Non disponible
36,Kr,Krypton,Noble gas,0,1,Non disponible,,,,,Non disponible
54,Xe,Xénon,Noble gas,0,1,Non disponible,,,,,Non disponible
86,Rn,Radon,Noble gas,0,1,Non disponible,,,,,Non disponible
1,H,Hydrogène,Non-metal,1,1,Oxyde d'hydrogène,,,,,Oxyde d'hydrogène
3,Li,Lithium,Metal,1,1,Oxyde de Lithium,,,,,Oxyde de lithium
9,F,Fluor,Non-metal,1,1,Oxyde de Fluor,,,,,Oxyde de Fluor
11,Na,Sodium,Metal,1,1,Oxyde de sodium,,,,,Oxyde de sodium
19,K,Potassium,Metal,1,1,Oxyde de potassium,,,,,Oxyde de potassium
37,Rb,Rubidium,Metal,1,1,Oxyde de rubidium,,,,,Oxyde de rubidium
47,Ag,Argent,Metal,1,1,Oxyde d'argent,,,,,Oxyde d'argent
55,Cs,Césium,Metal,1,1,Oxyde de césium,,,,,Oxyde de césium
87,Fr,François,Metal,1,1,Oxyde de francium,,,,,Oxyde de Francius
4,Be,Béryllium,Metal,2,1,Oxyde de Béryllium,,,,,Oxyde de béryllium
8,O,Oxygène,Non-metal,2,1,Oxygène,,,,,Oxyde d'oxygène
12,Mg,Magnésium,Metal,2,1,Oxyde de magnésium,,,,,L'oxyde de magnésium
20,Ca,Calcium,Metal,2,1,Oxyde de calcium,,,,,Oxyde de calcium
30,Zn,Zinc,Metal,2,1,Oxyde de zinc,,,,,Oxyde de zinc
38,Sr,Strontium,Metal,2,1,Oxyde de strontium,,,,,Oxyde de strontium
48,Cd,Cadmium,Metal,2,1,Oxyde de cadmium,,,,,Oxyde de cadmium
56,Ba,Baryum,Metal,2,1,Oxyde de baryum,,,,,Oxyde de baryum
88,Ra,Radio,Metal,2,1,Oxyde de Radio,,,,,Radio-oxyde
5,B,Bore,Metalloid,3,1,Oxyde de Bore,,,,,Oxyde de bore
13,Al,Aluminium,Metal,3,1,Oxyde d'aluminium,,,,,Oxyde d'aluminium
21,Sc,Scandium,Metal,3,1,Oxyde de scandium,,,,,Oxyde de Scandium
31,Ga,Gallium,Metal,3,1,Oxyde de gallium,,,,,Oxyde de gallium
39,Y,Yttrium,Metal,3,1,Oxyde d'iode,,,,,Oxyde d'yttrium
49,In,Indien,Metal,3,1,Oxyde d'indium,,,,,Oxyde indien
57,La,Lanthane,Metal,3,1,Oxyde de lanthane,,,,,Oxyde de lanthane
60,Nd,Néodyme,Metal,3,1,Oxyde de néodyme,,,,,Oxyde de néodyme
61,Pm,Promettre,Metal,3,1,Oxyde de prométhium,,,,,Oxyde de promesse
64,Gd,Gadolinium,Metal,3,1,Oxyde de gadolinium,,,,,Oxyde de gadolinium
66,Dy,Dysprosium,Metal,3,1,Oxyde de dysprosium,,,,,Oxyde de dysprosium
67,Ho,Holmium,Metal,3,1,Oxyde d'holmium,,,,,Oxyde d'holmium
68,Er,Erbium,Metal,3,1,Oxyde d'erbium,,,,,Oxyde d'erbium
71,Lu,Lutécium,Metal,3,1,Oxyde de lutétium,,,,,Oxyde de lutétium
89,Ac,Actinium,Metal,3,1,Oxyde d'actinium,,,,,Oxyde d'actinium
96,Cm,Curium,Metal,3,1,Oxyde de curium,,,,,Oxyde de curium
98,Cf,Californie,Metal,3,1,Oxyde de Californie,,,,,Oxyde de Californium
113,Nh,Nihonium,Metal,3,1,Oxyde de nihonium,,,,,Oxyde de nihonium
14,Si,Silicium,Metalloid,4,1,Oxyde de silicium,,,,,Oxyde de silicium
32,Ge,Germanium,Metalloid,4,1,Oxyde de Germanium,,,,,Oxyde de Germanium
40,Zr,Zirconium,Metal,4,1,Oxyde de zirconium,,,,,Oxyde de zirconium
72,Hf,Hafnium,Metal,4,1,Oxyde d'hafnium,,,,,Oxyde d'hafnium
90,Th,Thorium,Metal,4,1,Oxyde de Thorium,,,,,Oxyde de Thorium
99,Es,Einsteinium,Metal,4,1,Oxyde d'einsteinium,,,,,Oxyde d'einsteinium
100,Fm,Fermium,Metal,4,1,Oxyde de Fermium,,,,,Oxyde de Fermium
104,Rf,Rutherfordio,Metal,4,1,Oxyde de rutherfordium,,,,,Oxyde de Rutherfordio
105,Db,Dubnium,Metal,4,1,Oxyde de dubnium,,,,,Oxyde de Dubnium
106,Sg,Seaborgio,Metal,4,1,Oxyde de Seaborgium,,,,,Oxyde de Seaborgio
73,Ta,Tantale,Metal,5,1,Oxyde de tantale,,,,,Oxyde de tantale
