Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
1,H,Hidrógeno,Non-metal,1,1,Hidróxido de Hidrógeno,,,,,Hidróxido de Hidrógeno
2,He,Helio,Noble gas,0,1,No corresponde,,,,,No corresponde
3,Li,Litio,Metal,1,1,Hidróxido de Litio,,,,,Hidróxido de Litio
4,Be,Berilio,Metal,2,1,Hidróxido de Berilio,,,,,Hidróxido de Berilio
5,B,Boro,Metalloid,3,1,Hidróxido de Boro,,,,,Hidróxido de Boro
6,C,Carbono,Non-metal,2;4,2,Hidróxido Carbonoso,Hidróxido Carbónico,,,,Hidróxido de Carbono
7,N,Nitrógeno,Non-metal,2;3;4;5,4,Hidróxido HipoNitrogenoso,Hidróxido Nitrogenoso,Hidróxido Nítrico,Hidróxido PerNítrico,,Hidróxido de Nitrógeno
8,O,Oxígeno,Non-metal,2,1,Oxígeno,,,,,Oxígeno
9,F,Flúor,Non-metal,1,1,Hidróxido de Flúor,,,,,Hidróxido de Flúor
10,Ne,Neón,Noble gas,0,1,No corresponde,,,,,No corresponde
11,Na,Sodio,Metal,1,1,Hidróxido de Sodio,,,,,Hidróxido de Sodio
12,Mg,Magnesio,Metal,2,1,Hidróxido de Magnesio,,,,,Hidróxido de Magnesio
13,Al,Aluminio,Metal,3,1,Hidróxido de Aluminio,,,,,Hidróxido de Aluminio
14,Si,Silicio,Metalloid,4,1,Hidróxido de Silicio,,,,,Hidróxido de Silicio
15,P,Fósforo,Non-metal,3;4;5,3,Hidróxido HipoFosforoso,Hidróxido Fosforoso,Hidróxido Fosfórico,,,Hidróxido de Fósforo
16,S,Azufre,Non-metal,2;4;6,3,Hidróxido HipoSulfuroso,Hidróxido Sulfuroso,Hidróxido Sulfúrico,,,Hidróxido de Azufre
17,Cl,Cloro,Non-metal,1;3;5;7,4,Hidróxido HipoCloroso,Cloroso,Hidróxido Clórico,Hidróxido PerClórico,,Hidróxido de Cloro
18,Ar,Argón,Noble gas,0,1,No corresponde,,,,,No corresponde
19,K,Potasio,Metal,1,1,Hidróxido de Potasio,,,,,Hidróxido de Potasio
20,Ca,Calcio,Metal,2,1,Hidróxido de Calcio,,,,,Hidróxido de Calcio
21,Sc,Escandio,Metal,3,1,Hidróxido de Escandio,,,,,Hidróxido de Escandio
22,Ti,Titanio,Metal,3;4,2,Hidróxido Titanoso,Hidróxido Titánico,,,,Hidróxido de Titanio
23,V,Vanadio,Metal,2;3;4;5,4,Hidróxido HipoVanadioso,Hidróxido Vanadioso,Hidróxido Vanádico,Hidróxido PerVanádico,,Hidróxido de Vanadio
24,Cr,Cromo,Metal,2;3;6,3,Hidróxido HipoCromoso,Hidróxido Cromoso,Hidróxido Crómico,,,Hidróxido de Cromo
25,Mn,Manganeso,Metal,2;3;4;6;7,5,Hidróxido HipoManganoso,Hidróxido Manganoso,Hidróxido Mangánico,Hidróxido PerMangánico,Hidróxido SuperMangánico,Hidróxido de Manganeso
26,Fe,Hierro,Metal,2;3,2,Hidróxido Ferroso,Hidróxido Férrico,,,,Hidróxido de Hierro
27,Co,Cobalto,Metal,2;3,2,Hidróxido Cobaltoso,Hidróxido Cobáltico,,,,Hidróxido de Cobalto
28,Ni,Níquel,Metal,2;3,2,Hidróxido Niqueloso,Hidróxido Niquélico,,,,Hidróxido de Níquel
29,Cu,Cobre,Metal,1;2,2,Hidróxido Cuproso,Hidróxido Cúprico,,,,Hidróxido de Cobre
