Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock,IUPAC,Detail
1,H,Hidrógeno,Non-metal,1,1,No corresponde,,,,,No corresponde,No corresponde,de Hidrógeno
2,He,Helio,Noble gas,0,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
3,Li,Litio,Metal,1,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
4,Be,Berilio,Metal,2,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
5,B,Boro,Metalloid,3,1,Ácido Bórico,,,,,Borato,OxoBorato,de Hidrógeno
6,C,Carbón,Non-metal,2;4,2,Ácido Carbonoso,Ácido Carbónico,,,,Carbonato,OxoCarbonato,de Hidrógeno
7,N,Nitrógeno,Non-metal,2;3;4;5,4,Ácido HipoNitrogenoso,Ácido Nitrogenoso,Ácido Nítrico,Ácido PerNítrico,,Nitrato,OxoNitrato,de Hidrógeno
8,O,Oxígeno,Non-metal,2,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
9,F,Flúor,Non-metal,1,1,Ácido Fluórico,,,,,Fluorato,OxoFluorato,de Hidrógeno
10,Ne,Neón,Noble gas,0,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
11,Na,Sodio,Metal,1,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
12,Mg,Magnesio,Metal,2,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
13,Al,Aluminio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
14,Si,Silicio,Metalloid,4,1,Ácido Silícico,,,,,Silicato,OxoSilicato,de Hidrógeno
15,P,Fósforo,Non-metal,3;4;5,3,Ácido HipoFosforoso,Ácido Fosforoso,Ácido Fosfórico,,,Fostato,OxoFostato,de Hidrógeno
16,S,Azufre,Non-metal,2;4;6,3,Ácido HipoSulfuroso,Ácido Sulfuroso,Ácido Sulfúrico,,,Sulfato,OxoSulfato,de Hidrógeno
17,Cl,Cloro,Non-metal,1;3;5;7,4,Ácido HipoCloroso,Cloroso,Ácido Clórico,Ácido PerClórico,,Clorato,OxoClorato,de Hidrógeno
18,Ar,Argón,Noble gas,0,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
19,K,Potasio,Metal,1,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
20,Ca,Calcio,Metal,2,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
21,Sc,Escandio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
22,Ti,Titanio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
23,V,Vanadio,Metal,2;3;4;5,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
24,Cr,Cromo,Metal,2;3;6,3,No corresponde,No corresponde,No corresponde,,,No corresponde,No corresponde,No corresponde
25,Mn,Manganeso,Metal,2;3;4;6;7,5,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde
26,Fe,Hierro,Metal,2;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
27,Co,Cobalto,Metal,2;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
28,Ni,Níquel,Metal,2;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
29,Cu,Cobre,Metal,1;2,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
30,Zn,Zinc,Metal,2,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
31,Ga,Galio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
32,Ge,Germanio,Metalloid,4,1,Ácido Germánico,,,,,Germaniato,Germaniato,de Hidrógeno
33,As,Arsénico,Metalloid,3;5,2,Ácido Arsenioso,Ácido Arsenícico,,,,Arseniato,OxoArseniato,de Hidrógeno
34,Se,Selenio,Non-metal,4;6,2,Ácido Selenioso,Ácido Selénico,,,,Seleniato,OxoSeleniato,de Hidrógeno
