Order,Symbol,Name,Type,Valence,Amount of Valences,Hydroxide_ValenceOrder1,Hydroxide_ValenceOrder2,Hydroxide_ValenceOrder3,Hydroxide_ValenceOrder4,Hydroxide_ValenceOrder5,Stock
1,H,Hydrogen,Non-metal,1,1,Hydrogen Hydroxide,,,,,Hydrogen Hydroxide
2,He,Helium,Noble gas,0,1,Not Avairable,,,,,Not Avairable
3,Li,Lithium,Metal,1,1,Lithium Hydroxide,,,,,Lithium Hydroxide
4,Be,Beryllium,Metal,2,1,Beryllium Hydroxide,,,,,Beryllium Hydroxide
5,B,Boron,Metalloid,3,1,Boron Hydroxide,,,,,Boron Hydroxide
6,C,Carbon,Non-metal,2;4,2,Carbon Hydroxide,Carbonic Hydroxide,,,,Carbon Hydroxide
7,N,Nitrogen,Non-metal,2;3;4;5,4,HypoNitrogenous Hydroxide,Nitrogen Hydroxide,Nitric Hydroxide,PerNitric Hydroxide,,Nitrogen Hydroxide
8,O,Oxygen,Non-metal,2,1,Oxygen,,,,,Oxygen Hydroxide
9,F,Fluorine,Non-metal,1,1,Fluorine Hydroxide,,,,,Fluorine Hydroxide
10,Ne,Neon,Noble gas,0,1,Not Avairable,,,,,Not Avairable
11,Na,Sodium,Metal,1,1,Sodium Hydroxide,,,,,Sodium Hydroxide
12,Mg,Magnesium,Metal,2,1,Magnesium Hydroxide,,,,,Magnesium Hydroxide
13,Al,Aluminum,Metal,3,1,Aluminum Hydroxide,,,,,Aluminum Hydroxide
14,Si,Silicon,Metalloid,4,1,Silicon Hydroxide,,,,,Silicon Hydroxide
15,P,Phosphore,Non-metal,3;4;5,3,HypoPhosphorous Hydroxide,Phosphorous Hydroxide,Phosphoric Hydroxide,,,Phosphore Hydroxide
16,S,Sulfur,Non-metal,2;4;6,3,HypoSulfurous Hydroxide,Sulfurous Hydroxide,Sulfuric Hydroxide,,,Sulfur Hydroxide
17,Cl,Chlorine,Non-metal,1;3;5;7,4,HypoChlorous Hydroxide,Chlorous,Chloric Hydroxide,PerChloric Hydroxide,,Chlorine Hydroxide
18,Ar,Argon,Noble gas,0,1,Not Avairable,,,,,Not Avairable
19,K,Potassium,Metal,1,1,Potassium Hydroxide,,,,,Potassium Hydroxide
20,Ca,Calcium,Metal,2,1,Calcium Hydroxide,,,,,Calcium Hydroxide
