Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
1,H,Hidrógeno,Non-metal,1,1,Hidruro de Hidrógeno,,,,,Hidruro de Hidrógeno
2,He,Helio,Noble gas,0,1,No corresponde,,,,,No corresponde
3,Li,Litio,Metal,1,1,Hidruro de Litio,,,,,Hidruro de Litio
4,Be,Berilio,Metal,2,1,Hidruro de Berilio,,,,,Hidruro de Berilio
5,B,Boro,Metalloid,3,1,Hidruro de Boro,,,,,Hidruro de Boro
6,C,Carbono,Non-metal,2;4,2,Hidruro Carbonoso,Hidruro Carbónico,,,,Hidruro de Carbono
7,N,Nitrógeno,Non-metal,2;3;4;5,4,Hidruro HipoNitrogenoso,Hidruro Nitrogenoso,Hidruro Nítrico,Hidruro PerNítrico,,Hidruro de Nitrógeno
8,O,Oxígeno,Non-metal,2,1,Oxígeno,,,,,Hidruro de Oxígeno
9,F,Flúor,Non-metal,1,1,Hidruro de Flúor,,,,,Hidruro de Flúor
10,Ne,Neón,Noble gas,0,1,No corresponde,,,,,No corresponde
11,Na,Sodio,Metal,1,1,Hidruro de Sodio,,,,,Hidruro de Sodio
12,Mg,Magnesio,Metal,2,1,Hidruro de Magnesio,,,,,Hidruro de Magnesio
13,Al,Aluminio,Metal,3,1,Hidruro de Aluminio,,,,,Hidruro de Aluminio
14,Si,Silicio,Metalloid,4,1,Hidruro de Silicio,,,,,Hidruro de Silicio
15,P,Fósforo,Non-metal,3;4;5,3,Hidruro HipoFosforoso,Hidruro Fosforoso,Hidruro Fosfórico,,,Hidruro de Fósforo
16,S,Azufre,Non-metal,2;4;6,3,Hidruro HipoSulfuroso,Hidruro Sulfuroso,Hidruro Sulfúrico,,,Hidruro de Azufre
17,Cl,Cloro,Non-metal,1;3;5;7,4,Hidruro HipoCloroso,Cloroso,Hidruro Clórico,Hidruro PerClórico,,Hidruro de Cloro
18,Ar,Argón,Noble gas,0,1,No corresponde,,,,,No corresponde
19,K,Potasio,Metal,1,1,Hidruro de Potasio,,,,,Hidruro de Potasio
20,Ca,Calcio,Metal,2,1,Hidruro de Calcio,,,,,Hidruro de Calcio
21,Sc,Escandio,Metal,3,1,Hidruro de Escandio,,,,,Hidruro de Escandio
22,Ti,Titanio,Metal,3;4,2,Hidruro Titanoso,Hidruro Titánico,,,,Hidruro de Titanio
23,V,Vanadio,Metal,2;3;4;5,4,Hidruro HipoVanadioso,Hidruro Vanadioso,Hidruro Vanádico,Hidruro PerVanádico,,Hidruro de Vanadio
