Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
1,H,Hydrogène,Non-metal,1,1,Oxyde d'hydrogène,,,,,Oxyde d'hydrogène
2,He,Hélium,Noble gas,0,1,Hélium,,,,,Hélium
3,Li,Lithium,Metal,1,1,Oxyde de Lithium,,,,,Oxyde de lithium
4,Be,Béryllium,Metal,2,1,Oxyde de Béryllium,,,,,Oxyde de béryllium
5,B,Bore,Metalloid,3,1,Oxyde de Bore,,,,,Oxyde de bore
6,C,Carbone,Non-metal,2;4,2,Oxyde de Carbone,Oxyde de carbone,,,,Oxyde de carbone
7,N,Azote,Non-metal,2;3;4;5,4,Oxyde hypoazote,Oxyde de nitrogène,Oxyde nitrique,Oxyde PerNitrique,,Oxyde de nitrogène
8,O,Oxygène,Non-metal,2,1,Oxygène,,,,,Oxyde d'oxygène
9,F,Fluor,Non-metal,1,1,Oxyde de Fluor,,,,,Oxyde de Fluor
10,Ne,Néon,Noble gas,0,1,Néon,,,,,Néon
11,Na,Sodium,Metal,1,1,Oxyde de sodium,,,,,Oxyde de sodium
12,Mg,Magnésium,Metal,2,1,Oxyde de magnésium,,,,,L'oxyde de magnésium
13,Al,Aluminium,Metal,3,1,Oxyde d'aluminium,,,,,Oxyde d'aluminium
14,Si,Silicium,Metalloid,4,1,Oxyde de silicium,,,,,Oxyde de silicium
15,P,Correspondre,Non-metal,3;4;5,3,Oxyde d'hypophosphore,Oxyde de phosphore,Oxyde de phosphore,,,Oxyde de phosphore
16,S,Soufre,Non-metal,2;4;6,3,Oxyde d'hyposulfure,Oxyde de soufre,Oxyde de soufre,,,Oxyde de soufre
17,Cl,Chlore,Non-metal,1;3;5;7,4,Oxyde hypochloreux,Chloreux,Oxyde de Chlore,Oxyde perchlorique,,Oxyde de chlore
18,Ar,Argon,Noble gas,0,1,Argon,,,,,Argon
19,K,Potassium,Metal,1,1,Oxyde de potassium,,,,,Oxyde de potassium
20,Ca,Calcium,Metal,2,1,Oxyde de calcium,,,,,Oxyde de calcium
21,Sc,Scandium,Metal,3,1,Oxyde de scandium,,,,,Oxyde de Scandium
22,Ti,Titane,Metal,3;4,2,Oxyde Titane,Oxyde de Titane,,,,Oxyde de titane
23,V,Vanadium,Metal,2;3;4;5,4,Oxyde HypoVanadious,Oxyde vanadieux,Oxyde vanadique,Oxyde pervanadique,,Oxyde de vanadium
24,Cr,Chrome,Metal,2;3;6,3,Oxyde hypochrome,Oxyde de Chrome,Oxyde de Chrome,,,Oxyde de Chrome
25,Mn,Manganèse,Metal,2;3;4;6;7,5,Oxyde hypomanganeux,Oxyde manganeux,Oxyde Manganique,Oxyde de Permanganique,Oxyde Supermanganique,Oxyde de manganèse
26,Fe,Le fer,Metal,2;3,2,Oxyde ferreux,Oxyde ferrique,,,,Oxyde de fer
27,Co,Cobalt,Metal,2;3,2,Oxyde de cobalt,Oxyde de cobalt,,,,Oxyde de cobalt
28,Ni,Nickel,Metal,2;3,2,Oxyde de nickel,Oxyde de nickel,,,,Oxyde de nickel
29,Cu,Cuivre,Metal,1;2,2,Oxyde cuivreux,Oxyde de Cuivre,,,,Oxyde de cuivre
30,Zn,Zinc,Metal,2,1,Oxyde de zinc,,,,,Oxyde de zinc
31,Ga,Gallium,Metal,3,1,Oxyde de gallium,,,,,Oxyde de gallium
32,Ge,Germanium,Metalloid,4,1,Oxyde de Germanium,,,,,Oxyde de Germanium
33,As,Arsenic,Metalloid,3;5,2,Oxyde d'arsenic,Oxyde d'arsenic,,,,Oxyde d'arsenic
34,Se,Sélénium,Non-metal,4;6,2,Oxyde de sélénium,Oxyde sélénique,,,,Oxyde de sélénium
35,Br,Brome,Non-metal,1;5,2,Oxyde Bromeux,Oxyde de brome,,,,Oxyde de brome
36,Kr,Krypton,Noble gas,0,1,Krypton,,,,,Krypton
