Order,en,es,fr
1,Oxide of ,Óxido de ,Oxide of pero en FRANCEEEE
2,Hidruro de PERO EN INGLEEEEE,Hidruro de,Hidruro de PERO EN FRANCEE
3,Hidróxido de  PERO EN INGLEEEEE ,Hidróxido de ,Hidróxido de  PERO EN FRANCEE
4,Hidrácido de  PERO EN INGLEEEEE ,Hidrácido de ,Hidrácido de  PERO EN FRANCEE
5,Hipo PERO EN INGLES,Hipo,Hipo PERO EN FRANCES
6,Hiper PERO EN INGLES,Hiper,Hiper PERO EN FRANCES
7,Super PERO EN INGLES,Super,Super PERO EN FRANCES
8,es un Gas Noble PERO EN INGLESSSS,es un Gas Noble,es un Gas Noble PERO EN FRANCESSS
9,NO reacciona con Oxígeno PERO EN INGLESSSS,NO reacciona con Oxígeno,NO reacciona con Oxígeno PERO EN FRANCESSS
10,No se forma un Óxido PERO EN INGLES,No se forma un Óxido,No se forma un Óxido PERO EN FRANCESSS
