Order,Symbol,Name,Atomic Number,Group,Period,Type,Subtype,State,Valence,"Atomic Weight
(uma)",density g/mL,Boiling point,Fusion Point,Amount of Valences
1,H,Hidrógeno,1,1,1,No Metal,Other Non-Metals,Gas,1,1.007975,0.0000699,-252.9,-259.1,1
2,He,Helio,2,18,1,Gas Noble,-,Gas,0,4.002602,0.000179,-268.9,-272.2,1
3,Li,Litio,3,1,2,Metal,Alkaline,Sólido,1,6.9675,543,1342,180.5,1
4,Be,Berilio,4,2,2,Metal,Alkaline earths,Sólido,2,9.0121831,1.85,2970,1278,1
5,B,Boro,5,13,2,Metaloide,-,Sólido,3,10.8135,2.34,2550,2079,1
6,C,Carbono,6,14,2,No Metal,Other Non-Metals,Sólido,2;4,12.0106,2.25,4827,3367,2
7,N,Nitrógeno,7,15,2,No Metal,Other Non-Metals,Gas,2;3;4;5,14.006855,0.00125,-195.8,-209.9,4
8,O,Oxígeno,8,16,2,No Metal,Other Non-Metals,Gas,2,15.9994,0.00143,-183,-218.4,1
9,F,Flúor,9,17,2,No Metal,Halogens,Gas,1,18.99840316,0.0017,-188.1,-219.8,1
10,Ne,Neón,10,18,2,Gas Noble,-,Gas,0,20.1797,0.0009,-248.7,-248,1
11,Na,Sodio,11,1,3,Metal,Alkaline,Sólido,1,22.98976928,971,883,97.8,1
12,Mg,Magnesio,12,2,3,Metal,Alkaline earths,Sólido,2,24.3055,1.74,1090,649,1
13,Al,Aluminio,13,13,3,Metal,Metals from Block p,Sólido,3,26.9815385,2.7,2467,660,1
14,Si,Silicio,14,14,3,Metaloide,-,Sólido,4,28085,2.33,2355,1410,1
15,P,Partido,15,15,3,No Metal,Other Non-Metals,Sólido,3;4;5,30.973762,1.82,280,44.1,3
16,S,Azufre,16,16,3,No Metal,Other Non-Metals,Sólido,2;4;6,32.0675,2.07,444.7,112.8,3
17,Cl,Cloro,17,17,3,No Metal,Halogens,Gas,1;3;5;7,35.4515,0.00321,-34.6,-101,4
18,Ar,Argón,18,18,3,Gas Noble,-,Gas,0,39948,0.00178,-185.7,-189.2,1
19,K,Potasio,19,1,4,Metal,Alkaline,Sólido,1,39.0983,0.86,760,63.25,1
20,Ca,Calcio,20,2,4,Metal,Alkaline earths,Sólido,2,40078,1.55,1484,839,1
21,Sc,Escandio,21,3,4,Metal,Transition Metals,Sólido,3,44.955908,2.99,2832,1541,1
22,Ti,Titanio,22,4,4,Metal,Transition Metals,Sólido,3;4,47867,4.54,3287,1660,2
23,V,Vanadio,23,5,4,Metal,Transition Metals,Sólido,2;3;4;5,50.9415,6.11,3380,1890,4
24,Cr,Cromo,24,6,4,Metal,Transition Metals,Sólido,2;3;6,51.9961,7.19,2672,1857,3
25,Mn,Manganeso,25,7,4,Metal,Transition Metals,Sólido,2;3;4;6;7,54.938044,7.43,1962,1244,5
26,Fe,Hierro,26,8,4,Metal,Transition Metals,Sólido,2;3,55845,7.86,2750,1535,2
27,Co,Cobalto,27,9,4,Metal,Transition Metals,Sólido,2;3,58.933194,8.9,2870,1495,2
28,Ni,Níquel,28,10,4,Metal,Transition Metals,Sólido,2;3,58.6934,8.9,2730,1453,2
29,Cu,Cobre,29,11,4,Metal,Transition Metals,Sólido,1;2,63546,8.96,2567,1083,2
30,Zn,Zinc,30,12,4,Metal,Transition Metals,Sólido,2,65.38,7.13,906,419.6,1
31,Ga,Galio,31,13,4,Metal,Metals from Block p,Líquido,3,69723,5.9,2403,29.8,1
32,Ge,Germanio,32,14,4,Metaloide,-,Sólido,4,72.63,5.32,2830,947.4,1
33,As,Arsénico,33,15,4,Metaloide,-,Sólido,3;5,74.921595,5.73,617,817,2
34,Se,Selenio,34,16,4,No Metal,Other Non-Metals,Sólido,4;6,78971,4.79,685,217,2
35,Br,Bromo,35,17,4,No Metal,Halogens,Líquido,1;5,79904,3.12,58.8,-7.2,2
36,Kr,Criptón,36,18,4,Gas Noble,-,Gas,0,83798,0.00374,-152,-157,1
37,Rb,Rubidio,37,1,5,Metal,Alkaline,Sólido,1,85.4678,1.53,686,38.9,1
38,Sr,Estroncio,38,2,5,Metal,Alkaline earths,Sólido,2,87.62,2.54,1384,769,1
39,Y,Itrio,39,3,5,Metal,Transition Metals,Sólido,3,88.90584,4.47,3337,1523,1
40,Zr,Circonio,40,4,5,Metal,Transition Metals,Sólido,4,91224,6.51,4377,1852,1
41,Nb,Niobio,41,5,5,Metal,Transition Metals,Sólido,3;5,92.90637,8.57,4742,2468,2
42,Mo,Molibdeno,42,6,5,Metal,Transition Metals,Sólido,2;3;4;5;6,95.95,10.2,4612,2617,5
43,Tc,Tecnecio,43,7,5,Metal,Transition Metals,Sólido,7,98,11.5,4877,2172,1
44,Ru,Rutenio,44,8,5,Metal,Transition Metals,Sólido,2;3;4;6;8,101.07,12.4,3900,2310,5
45,Rh,Rodio,45,9,5,Metal,Transition Metals,Sólido,2;3;4,102.9055,12.4,3727,1966,3
46,Pd,Paladio,46,10,5,Metal,Transition Metals,Sólido,2;4,106.42,12,3140,1554,2
47,Ag,Plata,47,11,5,Metal,Transition Metals,Sólido,1,107.8682,10.5,2212,962,1
48,Cd,Cadmio,48,12,5,Metal,Transition Metals,Sólido,2,112414,8.65,765,320.9,1
49,In,indio,49,13,5,Metal,Metals from Block p,Sólido,3,114818,7.31,2080,156.6,1
50,Sn,Estaño,50,14,5,Metal,Metals from Block p,Sólido,2;4,118.71,7.31,2270,232,2
51,Sb,Antimonio,51,15,5,Metaloide,-,Sólido,3;5,121.76,6.69,1950,631,2
52,Te,Telurio,52,16,5,Metaloide,-,Sólido,2;4;6,127.6,6.24,989.8,449.5,3
53,I,Yodo,53,17,5,No Metal,Halogens,Sólido,1;5;7,126.90447,4.93,184,113.5,3
54,Xe,Xenón,54,18,5,Gas Noble,-,Gas,0,131293,0.00589,-107.1,-111.8,1
55,Cs,Cesio,55,1,6,Metal,Alkaline,Líquido,1,132.905452,1.87,669,28.4,1
56,Ba,Bario,56,2,6,Metal,Alkaline earths,Sólido,2,137327,3.5,1640,725,1
57,La,Lantano,57,3,6,Metal,Lanthanides,Sólido,3,138.90547,6.15,3454,920,1
58,Ce,Cerio,58,3,6,Metal,Lanthanides,Sólido,3;4,140116,6.66,3257,798,2
59,Pr,Praseodimio,59,3,6,Metal,Lanthanides,Sólido,3;4,140.90766,6.77,3017,931,2
60,Nd,Neodimio,60,3,6,Metal,Lanthanides,Sólido,3,144242,7,3127,1016,1
61,Pm,Promesa,61,3,6,Metal,Lanthanides,Sólido,3,145,7.26,3000,1042,1
62,Sm,Samario,62,3,6,Metal,Lanthanides,Sólido,2;3,150.36,7.52,1794,1074,2
63,Eu,Europio,63,3,6,Metal,Lanthanides,Sólido,2;3,151964,5.24,1529,822,2
64,Gd,Gadolinio,64,3,6,Metal,Lanthanides,Sólido,3,157.25,7.9,3273,1313,1
65,Tb,Terbio,65,3,6,Metal,Lanthanides,Sólido,3;4,158.92535,8.23,3230,1365,2
66,Dy,Disprosio,66,3,6,Metal,Lanthanides,Sólido,3,162.5,8.55,2567,1412,1
67,Ho,Holmio,67,3,6,Metal,Lanthanides,Sólido,3,164.93033,8.8,2700,1474,1
68,Er,Erbio,68,3,6,Metal,Lanthanides,Sólido,3,167259,9.07,2868,1529,1
69,Tm,Tulio,69,3,6,Metal,Lanthanides,Sólido,3;2,168.93422,9.32,1950,1545,2
70,Yb,Iterbio,70,3,6,Metal,Lanthanides,Sólido,2;3,173054,6.97,1196,819,2
71,Lu,Lutecio,71,3,6,Metal,Lanthanides,Sólido,3,174.9668,9.84,3402,1663,1
72,Hf,Hafnio,72,4,6,Metal,Lanthanides,Sólido,4,178.49,13.3,4600,2227,1
73,Ta,Tantalio,73,5,6,Metal,Lanthanides,Sólido,5,180.94788,16.6,5425,2996,1
74,W,Tungsteno,74,6,6,Metal,Lanthanides,Sólido,2;3;4;5;6,183.84,19.3,5660,3410,5
75,Re,Renio,75,7,6,Metal,Lanthanides,Sólido,1;2;4;6;7,186207,21,5600,3180,5
76,Os,Osmio,76,8,6,Metal,Lanthanides,Sólido,2;3;4;6;8,190.23,22.6,5030,3045,5
77,Ir,Iridio,77,9,6,Metal,Lanthanides,Sólido,2;3;4;6,192217,22.4,4130,2410,4
78,Pt,Platino,78,10,6,Metal,Lanthanides,Sólido,2;4,195084,21.4,3827,1772,2
79,Au,Oro,79,11,6,Metal,Lanthanides,Sólido,1;3,196.966569,19.3,3080,1064,2
80,Hg,Mercurio,80,12,6,Metal,Lanthanides,Líquido,1;2,200592,13.5,357,-38.9,2
81,Tl,Talio,81,13,6,Metal,Lanthanides,Sólido,1;3,204.3835,11.9,1457,303,2
82,Pb,Dirigir,82,14,6,Metal,Lanthanides,Sólido,2;4,207.2,11.4,1740,327.5,2
83,Bi,Bismuto,83,15,6,Metal,Lanthanides,Sólido,3;5,208.9804,9.75,1560,271,2
84,Po,Polonio,84,16,6,Metaloide,-,Sólido,2;4,209,9.32,962,254,2
85,At,Astatus,85,17,6,No Metal,Halogens,Sólido,1;3;5;7,210,,337,302,4
86,Rn,Radón,86,18,6,Gas Noble,-,Gas,0,222,0.00973,-61.8,-71,1
87,Fr,Francio,87,1,7,Metal,Alkaline,Líquido,1,223,,677,27,1
88,Ra,Radio,88,2,7,Metal,Alkaline earths,Sólido,2,226,5,1140,700,1
89,Ac,Actinio,89,3,7,Metal,Actinides,Sólido,3,227,10.1,3200,1050,1
90,Th,Torio,90,3,7,Metal,Actinides,Sólido,4,232.0377,11.7,4790,1750,1
91,Pa,Protactinio,91,3,7,Metal,Actinides,Sólido,4;5,231.03588,15.4,4000,1570,2
92,U,Uranio,92,3,7,Metal,Actinides,Sólido,3;4;5;6,238.02891,19,3818,1132,4
93,Np,Neptunio,93,3,7,Metal,Actinides,???,3;4;5;6,237,20.2,3900,640,4
94,Pu,Plutonio,94,3,7,Metal,Actinides,???,3;4;5;6,244,19.8,3232,641,4
95,Am,Americio,95,3,7,Metal,Actinides,???,3;4;5;6,243,13.7,2607,994,4
96,Cm,Curio,96,3,7,Metal,Actinides,???,3,247,13.5,,1340,1
97,Bk,Berkelio,97,3,7,Metal,Actinides,???,3;4,247,14,,986,2
98,Cf,Californio,98,3,7,Metal,Actinides,???,3,251,,,,1
99,Es,Einstenio,99,3,7,Metal,Actinides,???,4,252,,,,1
100,Fm,Fermio,100,3,7,Metal,Actinides,???,4,257,,,,1
101,Md,Mendelevio,101,3,7,Metal,Actinides,???,3;4,258,,,,2
102,No,Nobelio,102,3,7,Metal,Actinides,???,3;4,259,,,,2
103,Lr,Laurencio,103,3,7,Metal,Actinides,???,3;4,262,,,,2
104,Rf,Rutherfordio,104,3,7,Metal,Actinides,???,4,267,,,,1
105,Db,Dubnium,105,3,7,Metal,Actinides,???,4,268,,,,1
106,Sg,Seaborgio,106,3,7,Metal,Actinides,???,4,271,,,,1
107,Bh,Bohrio,107,3,7,Metal,Actinides,???,3;4;5,272,,,,3
108,Hs,Hassio,108,3,7,Metal,Actinides,???,2;4;6;7,270,,,,4
