en,es
#### General Page,#### Pagina General
Change language,Cambiar lenguaje
Plot version,Versión de presentación
Steichiometry,Estequiometría
Instructions,Instrucciones
Contact,Contacto
Chemestry Family,Familia Química
Selection 01,Selección 01
Selection 02,Selección 02
Valence 01,Valencia 01
Valence 02,Valencia 02
Slider,Slider
Help Level,Nivel de Ayuda
Start,Inicio
<<<,<<<
>>>,>>>
Final,Final
Nomenclature,Nomenclatura
Final Equation,Ecuación Final
######## Chemestry Family,######## Familia Química
Oxide,Óxido
Hydroxide,Hidróxido
Oxacid,Oxácido
Hydride,Hidruro
Hydracid,Hydracid
Oxosalt,Oxosal
Salt,Sal
Hydride (Metalic Hydride),Hidruro (Hidruro Metálico)
Hydracid (Non-metalic Hydride),Hidrácido (Hidruro No metálico)
######## Element Selector,######## Selector de Elemento
Oxide - Select an element,Óxido - Selecciona un elemento
Hydroxide - Select an element (Restringed options),Hidróxido - Selecciona un elemento (Elección restringida)
Oxacid - Select an element (Restringed options),Oxácido - Selecciona un elemento (Elección restringida)
Hydride - Select an element (Restringed options),Hidruro - Selecciona un elemento (Elección restringida)
Hydracid - Select an element (Restringed options),Hidrácido - Selecciona un elemento (Elección restringida)
Hydroxide for a Oxosalt - Select an element (Restringed options),Hidróxido para Oxosal - Selecciona un elemento (Elección restringida)
Oxacid  for a Oxosalt - Select an element (Restringed options),Oxácido para Oxosal - Selecciona un elemento (Elección restringida)
Hydroxide for a Salt - Select an element (Restringed options),Hidróxido para Sal - Selecciona un elemento (Elección restringida)
Hydracid  for a Salt - Select an element (Restringed options),Hidrácido para Sal - Selecciona un elemento (Elección restringida)
######## Help Element Selector,######## Ayuda del Selector de Elemento
Choose an element.,Elije un elemento.
Only metals and some metalloids can be choosen.,Solo metales y algún metaloide puede ser elegido.
Only non-metals and some metaloids can be choosen.,Solo No Metales y algunos metaloides pueden ser elegidos.
"Only six non-metals (Br, Cl, F, I, S, Se) and one metalloid (Te) can be choosen.","Solos seis No Metales (Br, Cl, F, I, S, Se) y un metaloide (Te) pueden ser elegidos."
Only the first valence can be choosen for Hydracid.,Solo la primer valencia puede ser elegida para un Hidrácido.
######## Helper table colnames,######## Nombre de las columnas del helper
Step,Step
Resumen,Resumen
General details,Detalles generales
Specific details,Detalles especificos
#### Special Characters,#### Caracteres Especiales
,
of,de
#### End Special Characters,#### Fin Caracteres Especiales
